2022-09-22 15:37:51,425 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 15:37:51.424389]
2022-09-22 15:39:53,076 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161500_0005_Z_航点5.JPG
2022-09-22 15:40:00,050 - maincontroller.py - line:68 - INFO| DJI_20220905161500_0005_Z_航点5.JPG下载成功
2022-09-22 15:40:00,058 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:40:00,068 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 15:40:00,090 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 15:40:00,105 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:00,118 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:00,119 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:40:02,687 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161439_0004_Z_航点4.JPG
2022-09-22 15:40:08,349 - maincontroller.py - line:68 - INFO| DJI_20220905161439_0004_Z_航点4.JPG下载成功
2022-09-22 15:40:08,355 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:40:08,361 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:40:08,374 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:08,381 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:08,386 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:08,393 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:08,394 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:40:10,523 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161426_0003_Z_航点3.JPG
2022-09-22 15:40:15,231 - maincontroller.py - line:68 - INFO| DJI_20220905161426_0003_Z_航点3.JPG下载成功
2022-09-22 15:40:15,237 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:40:15,242 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:40:15,256 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:15,278 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:15,284 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:15,290 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:15,295 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:15,307 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:15,308 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:40:19,119 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161411_0002_Z_航点2.JPG
2022-09-22 15:40:28,213 - maincontroller.py - line:68 - INFO| DJI_20220905161411_0002_Z_航点2.JPG下载成功
2022-09-22 15:40:28,219 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:40:28,225 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:40:28,239 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:28,246 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:28,252 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:28,259 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:28,265 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:28,271 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:28,277 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:28,284 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:28,285 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:40:31,152 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905161358_0001_Z_航点1.JPG
2022-09-22 15:40:37,687 - maincontroller.py - line:68 - INFO| DJI_20220905161358_0001_Z_航点1.JPG下载成功
2022-09-22 15:40:37,694 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:40:37,700 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 15:40:37,714 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:37,721 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:37,727 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:37,760 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:37,767 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:37,773 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:37,779 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:37,790 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:37,796 - sql_operations.py - line:70 - INFO| 开始向图片表插入数据
2022-09-22 15:40:37,806 - sql_operations.py - line:78 - INFO| 图片数据插入成功
2022-09-22 15:40:37,808 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:43:06,561 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 15:43:06.560119]
2022-09-22 15:44:18,335 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220922154414_0003_Z.JPG
2022-09-22 15:44:18,897 - maincontroller.py - line:68 - INFO| DJI_20220922154414_0003_Z.JPG下载成功
2022-09-22 15:44:18,904 - sql_operations.py - line:21 - INFO| 开始向航线表插入数据
2022-09-22 15:44:18,918 - sql_operations.py - line:29 - INFO| 航线表数据插入成功
2022-09-22 15:44:18,927 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 15:44:18,949 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 15:44:18,965 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:44:18,974 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:44:18,975 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 15:46:12,688 - maincontroller.py - line:362 - INFO| [+] AGX API is running [2022-09-22 15:46:12.688224]
2022-09-22 15:46:39,240 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905162221_0001_Z_航点1.JPG
2022-09-22 15:46:45,216 - maincontroller.py - line:68 - INFO| DJI_20220905162221_0001_Z_航点1.JPG下载成功
2022-09-22 15:46:45,224 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 15:46:45,233 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 15:46:45,242 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 15:46:45,257 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-22 15:46:45,264 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-22 15:46:45,265 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
