2022-09-23 09:50:43,184 - sql_operations.py - line:73 - INFO| 图片数据已存在
2022-09-23 09:50:43,190 - sql_operations.py - line:73 - INFO| 图片数据已存在
2022-09-23 09:50:43,194 - sql_operations.py - line:73 - INFO| 图片数据已存在
2022-09-23 09:50:43,199 - sql_operations.py - line:73 - INFO| 图片数据已存在
2022-09-23 09:50:43,204 - sql_operations.py - line:73 - INFO| 图片数据已存在
2022-09-23 09:51:23,484 - sql_operations.py - line:74 - INFO| 图片数据已存在
2022-09-23 09:51:23,489 - sql_operations.py - line:74 - INFO| 图片数据已存在
2022-09-23 09:51:23,493 - sql_operations.py - line:74 - INFO| 图片数据已存在
2022-09-23 09:51:23,498 - sql_operations.py - line:74 - INFO| 图片数据已存在
2022-09-23 09:51:23,503 - sql_operations.py - line:74 - INFO| 图片数据已存在
2022-09-23 09:52:04,065 - sql_operations.py - line:75 - INFO| 图片数据已存在
2022-09-23 09:52:04,073 - sql_operations.py - line:75 - INFO| 图片数据已存在
2022-09-23 09:52:04,079 - sql_operations.py - line:75 - INFO| 图片数据已存在
2022-09-23 09:52:04,086 - sql_operations.py - line:75 - INFO| 图片数据已存在
2022-09-23 09:52:04,093 - sql_operations.py - line:75 - INFO| 图片数据已存在
2022-09-23 09:52:39,181 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-23 09:52:39,209 - sql_operations.py - line:83 - INFO| 图片数据插入成功
2022-09-23 09:52:39,213 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-23 09:52:39,218 - sql_operations.py - line:83 - INFO| 图片数据插入成功
2022-09-23 09:52:39,223 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-23 09:52:39,242 - sql_operations.py - line:83 - INFO| 图片数据插入成功
2022-09-23 09:52:39,247 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-23 09:52:39,260 - sql_operations.py - line:83 - INFO| 图片数据插入成功
2022-09-23 09:52:39,265 - sql_operations.py - line:73 - INFO| 开始向图片表插入数据
2022-09-23 09:52:39,270 - sql_operations.py - line:83 - INFO| 图片数据插入成功
2022-09-23 09:54:29,177 - sql_operations.py - line:72 - INFO| 开始向图片表插入数据
2022-09-23 09:54:29,200 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-23 09:54:29,204 - sql_operations.py - line:72 - INFO| 开始向图片表插入数据
2022-09-23 09:54:29,208 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-23 09:54:29,213 - sql_operations.py - line:72 - INFO| 开始向图片表插入数据
2022-09-23 09:54:29,246 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-23 09:54:29,251 - sql_operations.py - line:72 - INFO| 开始向图片表插入数据
2022-09-23 09:54:29,255 - sql_operations.py - line:81 - INFO| 图片数据插入成功
2022-09-23 09:54:29,260 - sql_operations.py - line:72 - INFO| 开始向图片表插入数据
2022-09-23 09:54:29,264 - sql_operations.py - line:81 - INFO| 图片数据插入成功
